hour,purchase bid,sell bid,mcv,fsv,mcp
4.0,5664.5,20067.050000000003,5019.725,5019.725,1829.72
5.0,5727.55,19330.025,4949.775,4949.775,1991.6950000000002
6.0,5876.4,16339.724999999999,4921.8,4921.8,2058.075
7.0,8239.7,13459.925,7520.5650000000005,7520.5650000000005,2647.795
8.0,11278.025,12833.625,10111.425,10111.425,3204.2225
9.0,11997.575,10893.375,10261.55,10261.55,3946.9525000000003
10.0,12141.125,10001.575,9668.875,9668.875,4305.55
11.0,11727.975,9334.975,8787.449999999999,8787.449999999999,3957.07
12.0,10361.9,9557.9,8017.7,8017.7,3530.0725
13.0,8754.3,9816.975,7260.95,7260.95,3151.94
14.0,6993.05,11583.9,6262.3,6262.3,2677.16
15.0,7087.65,14227.225,6453.34,6453.3425,2584.7375
16.0,7742.375,13726.95,6937.775,6937.775,2673.8
17.0,8791.45,12472.225,7841.4525,7841.4525,2830.33
18.0,8560.35,10367.625,7427.305,7427.305,2987.5075
19.0,10344.275,10667.475,9252.155,9252.155,3549.645
20.0,11415.85,10904.225,10112.4975,10112.4975,4163.5325
21.0,8270.625,10247.675,7340.8175,7340.8175,3120.09
22.0,5956.225,11053.55,5317.1625,5317.1625,2710.3975
23.0,4831.475,11876.45,3831.075,3831.075,2279.1325
24.0,5455.7,13716.75,4371.025,4371.025,2218.6025
1.0,5508.225,15813.05,4630.4,4630.4,2000.1125
2.0,5502.95,18750.375,4639.325,4639.325,1905.2075
3.0,5393.5,20089.2,4681.775000000001,4681.775000000001,1708.9525
4.0,5342.825,20021.825,4679.225,4679.225,1561.4325
5.0,5868.775,18855.4,4731.825,4731.825,1783.0425
6.0,6769.15,16311.55,5026.425,5026.425,2129.41
7.0,8855.475,12787.650000000001,7056.375,7056.375,2536.2925
8.0,13354.25,11715.025,10061.2,10061.2,3959.795
9.0,14705.2,9587.95,9422.95,9422.95,5825.52
10.0,14521.7,8596.95,8577.5,8577.5,6375.07
11.0,13657.4,8384.825,8227.325,8227.325,5825.41
12.0,11932.8,8478.375,8037.425,8037.425,4450.5725
13.0,10281.25,7912.35,7226.65,7226.65,4033.065
14.0,7895.95,9238.525,6139.9625,6139.965,3156.8
15.0,8689.575,11267.55,7050.495,7050.4974999999995,2972.2574999999997
16.0,10049.725,11090.025,7688.9925,7688.9925,2982.4700000000003
17.0,12090.825,10604.75,8758.625,8758.625,3533.3975
18.0,12754.7,8953.375,8392.7,8392.7,4231.91
19.0,15283.475,8582.925,8381.675,8381.675,5588.0925
20.0,17820.0,9329.85,9112.35,9112.35,5707.3125
21.0,13595.075,9178.75,8430.75,8430.75,4535.18
22.0,8663.6,9634.074999999999,6716.2474999999995,6716.245,3248.22
